Quarter,Location,HBName,AdmissionType,Sex,Age,Episodes,LengthOfEpisode,AverageLengthOfEpisode,Stays,LengthOfStay,AverageLengthOfStay,Year,Quarter_single
2021Q3,S08000024,NHS Lothian,Emergency Inpatients,Male,80-89 years,1222,3528,2.88707037643208,1203,14698,12.2177888611804,2021,Q3
2021Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,80-89 years,1238,4315,3.48546042003231,1185,15892,13.410970464135,2021,Q4
2022Q1,S08000024,NHS Lothian,Emergency Inpatients,Male,80-89 years,1177,3613,3.0696686491079,1173,15629,13.3239556692242,2022,Q1
2022Q2,S08000024,NHS Lothian,Emergency Inpatients,Male,80-89 years,1219,4346,3.56521739130435,1176,15640,13.2993197278912,2022,Q2
2022Q3,S08000024,NHS Lothian,Emergency Inpatients,Male,80-89 years,1186,4381,3.69392917369309,1181,18019,15.2574089754445,2022,Q3
2022Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,80-89 years,1195,4105,3.43514644351464,1151,15510,13.4752389226759,2022,Q4
2017Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,316,1320,4.1772151898734204,293,4880,16.6552901023891,2017,Q4
2018Q1,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,280,1487,5.31071428571429,291,5802,19.9381443298969,2018,Q1
2018Q2,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,270,1125,4.16666666666667,268,5185,19.3470149253731,2018,Q2
2018Q3,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,289,1336,4.62283737024221,281,5345,19.0213523131673,2018,Q3
2018Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,265,1209,4.5622641509434,271,5164,19.0553505535055,2018,Q4
2019Q1,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,321,1448,4.51090342679128,315,5164,16.3936507936508,2019,Q1
2019Q2,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,295,1042,3.53220338983051,288,5069,17.6006944444444,2019,Q2
2019Q3,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,275,781,2.84,279,5078,18.2007168458781,2019,Q3
2019Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,307,874,2.84690553745928,301,4697,15.6046511627907,2019,Q4
2020Q1,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,321,1062,3.30841121495327,335,5437,16.2298507462687,2020,Q1
2020Q2,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,224,589,2.62946428571429,217,2868,13.2165898617512,2020,Q2
2020Q3,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,304,808,2.65789473684211,269,3526,13.1078066914498,2020,Q3
2020Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,298,845,2.83557046979866,316,4636,14.6708860759494,2020,Q4
2021Q1,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,289,1156,4,274,4585,16.7335766423358,2021,Q1
2021Q2,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,297,727,2.44781144781145,295,4963,16.8237288135593,2021,Q2
2021Q3,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,309,1092,3.53398058252427,300,4587,15.29,2021,Q3
2021Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,273,851,3.11721611721612,271,4576,16.8856088560886,2021,Q4
2022Q1,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,286,1222,4.27272727272727,273,4629,16.956043956044,2022,Q1
2022Q2,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,299,1140,3.81270903010033,303,5516,18.2046204620462,2022,Q2
2022Q3,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,295,1147,3.88813559322034,291,5021,17.254295532646,2022,Q3
2022Q4,S08000024,NHS Lothian,Emergency Inpatients,Male,90 years and over,331,1217,3.67673716012085,327,4692,14.348623853211,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,16,3.2,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,5,1,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,5,1,5,5,1,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,0,0,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,8,1.6,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,0,0,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,7,1.4,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,10,0,0,10,19,1.9,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,5,1,5,5,1,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,10,0,0,10,15,1.5,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,0,0,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,0,0,NA,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,10,0,0,10,5,0.5,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,0,0,NA,0,0,NA,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,5,1,5,13,2.6,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,0,0,NA,0,0,NA,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,7,1.4,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,10,0,0,10,10,1,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,5,1,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,0,0,NA,0,0,NA,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,0-9 years,5,0,0,5,11,2.2,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,5,0.5,10,27,2.7,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,15,1.5,10,26,2.6,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,7,0.7,10,11,1.1,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,6,0.6,10,6,0.6,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,5,0,0,5,5,1,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,5,0,0,5,0,0,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,5,0,0,5,0,0,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,13,14,1.07692307692308,13,14,1.07692307692308,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,5,0.5,10,5,0.5,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,15,1.5,10,44,4.4,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,10,1,10,10,1,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,9,0.9,10,10,1,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,5,0.5,10,11,1.1,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,5,0,0,5,0,0,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,7,0.7,10,10,1,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,5,5,1,5,5,1,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,12,1.2,10,23,2.3,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,12,5,0.416666666666667,10,18,1.8,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,10,5,0.5,10,6,0.6,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,11,7,0.636363636363636,11,7,0.636363636363636,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,10-19 years,5,5,1,5,7,1.4,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,15,1.5,10,20,2,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,14,1.4,10,61,6.1,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,16,17,1.0625,15,58,3.86666666666667,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,5,17,3.4,5,17,3.4,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,18,19,1.05555555555556,17,26,1.52941176470588,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,10,1,10,17,1.7,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,16,1.6,10,16,1.6,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,10,1,10,19,1.9,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,15,26,1.73333333333333,15,42,2.8,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,5,5,1,5,5,1,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,5,6,1.2,5,9,1.8,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,15,1.5,10,18,1.8,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,17,1.7,10,12,1.2,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,12,8,0.666666666666667,12,50,4.16666666666667,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,6,0.6,12,62,5.16666666666667,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,15,61,4.06666666666667,10,10,1,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,12,17,1.41666666666667,15,176,11.7333333333333,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,15,37,2.46666666666667,15,37,2.46666666666667,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,5,44,8.8,5,51,10.2,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,10,20,2,10,21,2.1,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,20-29 years,5,9,1.8,5,10,2,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,15,22,1.46666666666667,14,30,2.14285714285714,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,17,38,2.23529411764706,20,48,2.4,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,15,29,1.93333333333333,14,31,2.21428571428571,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,21,38,1.80952380952381,21,46,2.19047619047619,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,16,28,1.75,16,32,2,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,18,22,1.22222222222222,18,31,1.72222222222222,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,13,22,1.69230769230769,13,27,2.07692307692308,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,10,10,1,10,10,1,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,13,24,1.84615384615385,13,30,2.30769230769231,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,15,14,0.933333333333333,10,13,1.3,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,10,12,1.2,10,25,2.5,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,14,18,1.28571428571429,14,21,1.5,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,11,11,1,11,18,1.63636363636364,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,15,24,1.6,15,24,1.6,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,17,17,1,16,25,1.5625,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,15,21,1.4,15,80,5.33333333333333,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,15,20,1.33333333333333,15,30,2,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,5,20,4,5,23,4.6,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,15,19,1.26666666666667,16,24,1.5,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,5,5,1,5,5,1,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,30-39 years,10,11,1.1,11,33,3,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,19,39,2.05263157894737,20,62,3.1,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,15,33,2.2,15,31,2.06666666666667,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,19,28,1.47368421052632,20,87,4.35,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,14,18,1.28571428571429,15,24,1.6,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,15,40,2.66666666666667,15,89,5.93333333333333,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,15,22,1.46666666666667,15,119,7.93333333333333,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,10,21,2.1,12,75,6.25,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,15,30,2,15,45,3,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,15,51,3.4,15,93,6.2,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,10,20,2,10,30,3,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,12,15,1.25,12,22,1.83333333333333,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,10,25,2.5,10,28,2.8,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,20,38,1.9,22,38,1.72727272727273,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,16,51,3.1875,15,75,5,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,15,25,1.66666666666667,15,30,2,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,10,31,3.1,10,50,5,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,14,34,2.42857142857143,14,35,2.5,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,11,15,1.36363636363636,10,20,2,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,25,37,1.48,25,110,4.4,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,11,66,6,11,131,11.9090909090909,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,40-49 years,10,49,4.9,10,51,5.1,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,29,84,2.89655172413793,30,235,7.83333333333333,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,22,62,2.81818181818182,24,304,12.6666666666667,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,19,41,2.15789473684211,19,112,5.89473684210526,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,21,47,2.23809523809524,20,71,3.55,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,28,80,2.85714285714286,25,109,4.36,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,19,58,3.05263157894737,20,79,3.95,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,25,50,2,25,177,7.08,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,31,61,1.96774193548387,30,123,4.1,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,20,47,2.35,20,57,2.85,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,25,64,2.56,24,73,3.04166666666667,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,15,37,2.46666666666667,17,102,6,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,22,44,2,22,44,2,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,15,91,6.06666666666667,15,97,6.46666666666667,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,15,39,2.6,15,76,5.06666666666667,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,22,33,1.5,20,50,2.5,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,38,71,1.86842105263158,35,248,7.08571428571429,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,28,83,2.96428571428571,30,127,4.23333333333333,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,23,32,1.39130434782609,23,42,1.82608695652174,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,20,64,3.2,19,88,4.63157894736842,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,32,67,2.09375,30,137,4.56666666666667,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,50-59 years,23,97,4.21739130434783,25,126,5.04,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,27,176,6.51851851851852,27,260,9.62962962962963,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,22,79,3.59090909090909,20,186,9.3,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,28,101,3.60714285714286,29,147,5.06896551724138,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,36,95,2.63888888888889,36,157,4.36111111111111,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,25,95,3.8,23,135,5.8695652173913,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,29,102,3.51724137931034,31,223,7.19354838709677,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,25,87,3.48,25,118,4.72,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,34,117,3.44117647058824,33,150,4.54545454545455,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,35,151,4.31428571428571,35,373,10.6571428571429,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,27,193,7.14814814814815,25,150,6,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,25,122,4.88,25,397,15.88,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,30,170,5.66666666666667,30,330,11,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,30,124,4.13333333333333,28,157,5.60714285714286,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,28,84,3,29,143,4.93103448275862,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,25,85,3.4,25,156,6.24,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,41,115,2.80487804878049,40,146,3.65,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,31,100,3.2258064516129,35,233,6.65714285714286,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,25,70,2.8,26,95,3.65384615384615,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,25,89,3.56,26,97,3.73076923076923,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,28,110,3.92857142857143,25,194,7.76,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,60-69 years,34,184,5.41176470588235,35,350,10,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,50,199,3.98,45,286,6.35555555555556,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,52,291,5.59615384615385,54,585,10.8333333333333,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,38,137,3.60526315789474,39,360,9.23076923076923,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,54,209,3.87037037037037,55,404,7.34545454545455,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,47,245,5.21276595744681,45,490,10.8888888888889,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,42,117,2.78571428571429,40,303,7.575,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,49,152,3.10204081632653,48,580,12.0833333333333,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,49,259,5.28571428571429,50,547,10.94,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,51,265,5.19607843137255,50,556,11.12,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,41,195,4.75609756097561,45,434,9.64444444444444,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,30,188,6.26666666666667,29,289,9.96551724137931,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,42,171,4.07142857142857,40,246,6.15,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,51,454,8.90196078431373,51,660,12.9411764705882,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,48,182,3.79166666666667,48,304,6.33333333333333,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,54,183,3.38888888888889,54,472,8.74074074074074,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,56,175,3.125,60,448,7.46666666666667,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,53,360,6.79245283018868,50,380,7.6,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,50,230,4.6,45,462,10.2666666666667,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,52,249,4.78846153846154,55,545,9.90909090909091,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,48,174,3.625,45,338,7.51111111111111,2022,Q3
2022Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,70-79 years,41,181,4.41463414634146,45,348,7.73333333333333,2022,Q4
2017Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,39,198,5.07692307692308,40,458,11.45,2017,Q4
2018Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,43,210,4.88372093023256,40,354,8.85,2018,Q1
2018Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,39,121,3.1025641025641,40,366,9.15,2018,Q2
2018Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,45,147,3.26666666666667,46,322,7,2018,Q3
2018Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,55,223,4.05454545454545,52,386,7.42307692307692,2018,Q4
2019Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,54,345,6.38888888888889,54,660,12.2222222222222,2019,Q1
2019Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,45,202,4.48888888888889,48,796,16.5833333333333,2019,Q2
2019Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,28,274,9.78571428571429,27,396,14.6666666666667,2019,Q3
2019Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,47,350,7.4468085106383,48,512,10.6666666666667,2019,Q4
2020Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,57,534,9.36842105263158,58,779,13.4310344827586,2020,Q1
2020Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,41,251,6.1219512195122,40,548,13.7,2020,Q2
2020Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,39,235,6.02564102564103,39,379,9.71794871794872,2020,Q3
2020Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,55,329,5.98181818181818,54,443,8.2037037037037,2020,Q4
2021Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,56,346,6.17857142857143,53,396,7.47169811320755,2021,Q1
2021Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,41,242,5.90243902439024,45,743,16.5111111111111,2021,Q2
2021Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,51,341,6.68627450980392,48,431,8.97916666666667,2021,Q3
2021Q4,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,35,438,12.5142857142857,33,598,18.1212121212121,2021,Q4
2022Q1,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,33,426,12.9090909090909,34,795,23.3823529411765,2022,Q1
2022Q2,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,46,231,5.02173913043478,46,624,13.5652173913043,2022,Q2
2022Q3,S08000025,NHS Orkney,Emergency Inpatients,Female,80-89 years,42,541,12.8809523809524,41,788,19.219512195122,2022,Q3
